player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
1012731,Luis Balbo,86e5b3a3,1,2,0,0,891,0,0.0,14,0,0,0,0
1012801,Yuezheng Du,4fe2276a,1,5,0,0,2397,0,368.0,51,2,0,0,0
1012835,Simone Cesari,be94b122,0,2,0,0,1644,0,0.0,32,0,0,0,0
1013227,George Andrews,5a60a652,0,0,0,0,231,0,230.0,8,1,0,0,0
1013690,Elyh Harrison,9cdfef11,0,1,0,0,4542,0,0.0,53,0,0,10,83
1013714,Giacomo Sagrillo,41523d7f,0,12,0,0,4446,0,2668.0,57,1,0,0,0
1013774,Marciano Sanca,ce4dcafd,0,0,0,0,838,0,0.0,26,0,0,0,0
1013805,Adam Sosna,1d4bb8e7,0,2,0,0,2696,0,12472727273331.0,43,15,10,0,0
1013869,Seok-min Park,d4603e0b,0,1,0,0,1749,0,45366666666782.0,37,4,3,0,0
1014054,Andrea Melani,5e9d4142,0,5,0,0,3580,0,0.0,44,0,1,0,0
1014158,Mattia Fadigati,3ff5ddba,0,1,0,0,374,0,0.0,19,0,0,0,0
1014223,Sam Taylor,a5ce25b3,0,0,0,0,1242,0,603.0,32,4,1,0,0
1014243,Vivaldo Semedo,68b6eea3,0,4,0,0,3538,0,1341.0,63,10,1,0,0
1014606,Toma Georgievski,68cd1c75,0,0,0,0,281,0,0.0,13,0,0,0,0
1014828,Justas Martinkus,f272ba45,0,0,0,0,90,0,0.0,1,0,0,1,0
1015520,Luigi Bianchi,f082f9a1,0,1,0,0,1164,1,23766666666695.0,36,7,1,0,0
1015568,Benoît Alagapin,47bcd4b8,0,2,0,0,1751,0,425.0,26,4,0,0,0
1015624,Óscar Perea,89aedb73,0,5,0,1,2883,0,1613.0,58,8,5,0,0
1015773,Stephane Dzikang Njike,7dd18dd8,0,0,0,0,2643,0,17327272727384.5,49,17,3,0,0
1015841,Joe Tyrie,38c17ed6,0,0,0,0,711,0,0.0,10,0,0,0,0
1015997,Pietro Mariutto,7813e28c,0,5,0,0,3142,0,17.0,52,1,1,0,0
1016015,Ngal'ayel Mukau,428b46e4,0,7,0,0,4095,1,1788.0,61,2,0,0,0
1016031,Simon Harrasser,cc151088,0,1,0,0,3690,0,0.0,41,0,0,18,43
1016061,Davide Garro,24556d48,0,0,0,0,1,0,0.0,1,0,0,0,0
1016279,Michele Marano,cee9e42a,0,1,0,0,3150,0,0.0,35,0,0,6,52
1016280,Lukas Sinn,cbebd64e,0,14,1,0,4475,0,2631.0,62,1,1,0,0
1016377,Jamie Bramwell,06f46014,0,0,0,0,136,0,0.0,3,0,0,0,0
1016379,Emanuele Giusti,1f890cad,0,3,0,0,1076,0,0.0,23,0,0,0,0
1016477,Aimar Martiarena,a61a6faf,0,7,1,0,2320,0,2112.0,35,1,0,0,0
1016556,Ato Ampah,835ab807,0,2,0,0,1920,0,432.0,36,10,9,0,0
1016557,Chinonso Chibueze,16d6c57f,0,1,0,0,742,0,187.0,23,2,2,0,0
